year,fdi_total,remittances_total,oda_total
1990,20310262868.72611,27273000000.0,45663820109.71196
1991,27496585961.90992,28402000000.0,47972079863.51291
1992,41587269554.15931,33391000000.0,45171229831.347275
1993,60672041929.09273,35054000000.0,40803129708.210014
1994,79842420332.82565,39528000000.0,45547559900.98419
1995,89281393960.48361,45655000000.0,44418969898.24251
1996,110800172625.22095,49895000000.0,40084369792.58061
1997,143407696214.29135,59835000000.0,35418690041.24403
1998,141888927898.66788,58124000000.0,37386799704.90935
1999,152990638627.621,63987000000.0,38718080077.8866
2000,140539722243.60104,70489000000.0,35682060166.835785
2001,156349583170.09567,79690000000.0,39324580281.25764
2002,148210830756.94815,94557000000.0,44732420118.80877
2003,156797496285.89578,117934000000.0,52342479708.6716
2004,208529103237.9619,135276000000.0,57549609813.69023
2005,290389699223.9801,191499000000.0,85361649995.56546
2006,378661171216.4376,224581000000.0,81010660106.18213
2007,530385358333.6618,273325000000.0,78850899561.88205
2008,610432029004.9414,319667000000.0,87190810068.13052
2009,424667224227.6468,303533000000.0,86892010278.70184
2010,621016420690.6829,339717000000.0,88064940121.65074
2011,725745764717.7045,382485000000.0,94689929846.76367
2012,673994955108.6517,404730000000.0,93392730149.26918
2013,742210308942.9341,422844000000.0,104036490068.43571
2014,640859282062.0201,444295000000.0,102084910161.49524
2015,607721371469.422,446545000000.0,97127690263.15216
2016,551168953869.5779,440476000000.0,103533500527.38199
2017,545627750180.8443,477016000000.0,109273579641.81906
2018,606278699406.0314,523588000000.0,111270589992.04642
2019,565749372470.0527,546227000000.0,107524789196.7297
2020,536486490919.3994,541945000000.0,135668890652.17981
2021,752997984380.9083,596985000000.0,0.0
