year,fdi_total,remittance_millions
1990,20310262868.72611,"27,273"
1991,27496585961.90992,"28,402"
1992,41587269554.15931,"33,391"
1993,60672041929.09273,"35,054"
1994,79842420332.82565,"39,528"
1995,89281393960.48361,"45,655"
1996,110800172625.22095,"49,895"
1997,143407696214.29135,"59,835"
1998,141888927898.66788,"58,124"
1999,152990638627.621,"63,987"
2000,140539722243.60104,"70,489"
2001,156349583170.09567,"79,690"
2002,148210830756.94815,"94,557"
2003,156797496285.89578,"117,934"
2004,208529103237.9619,"135,276"
2005,290389699223.9801,"191,499"
2006,378661171216.4376,"224,581"
2007,530385358333.6618,"273,325"
2008,610432029004.9414,"319,667"
2009,424667224227.6468,"303,533"
2010,621016420690.6829,"339,717"
2011,725745764717.7045,"382,485"
2012,673994955108.6517,"404,730"
2013,742210308942.9341,"422,844"
2014,640859282062.0201,"444,295"
2015,607721371469.422,"446,545"
2016,551168953869.5779,"440,476"
2017,545627750180.8443,"477,016"
2018,606278699406.0314,"523,588"
2019,565749372470.0527,"546,227"
2020,536486490919.3994,"541,945"
2021,752997984380.9083,"596,985"
