Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,% of GDP in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021 Nominal GDP "
Afghanistan,,,,,,,,,,,,,,,,,,,217,625,789,454,324,445,524,229,168,144,235,217,225,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"16,109"
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,,27,10,280,230,209,151,216,191,179,153,147,106,115,120,125,140,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,"18,310"
Algeria,31,22,,,,,,,,,,,,,,27,35,49,27,46,28,31,44,39,296,72,77,214,87,82,149,81,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,"162,711"
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"3,330"
Angola,150,125,122,133,149,210,174,180,202,263,266,216,224,230,296,215,413,603,669,716,714,564,"2,051","2,396","2,747","1,253","1,176",961,682,549,576,445,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,"75,179"
Antigua and Barbuda,6,,,11,8,8,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,52,53,55,55,54,48,45,49,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,"1,471"
Argentina,0,0,143,163,177,195,207,232,247,250,268,256,120,180,234,314,357,463,631,767,"1,038","1,137",979,888,732,685,769,"1,060","1,010",695,545,589,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,"486,702"
Armenia,,,,,0,0,31,37,3,8,4,18,23,26,184,207,182,239,224,180,227,300,315,355,391,364,358,367,341,363,304,353,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,"13,928"
Aruba,0,16,5,4,4,,7,10,12,27,44,39,46,48,49,62,72,73,76,73,65,64,68,67,70,75,98,108,112,113,102,111,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,"3,126"
Australia,601,523,458,442,488,570,728,771,797,871,869,855,991,"1,381","1,609","1,531","2,051","2,981","3,366","3,224","4,655","6,598","7,084","7,254","6,953","6,038","6,179","6,793","7,268","7,439","4,359","3,804",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,"1,635,255"
Austria,,,,,,,,,,,,,,,,"2,119","2,302","2,592","2,985","2,909","2,990","3,623","3,451","3,896","4,963","4,750","4,885","5,369","6,206","6,231","6,204","7,016",1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,"477,084"
Azerbaijan,,,,,,,,,,77,101,142,188,131,172,239,274,405,567,638,954,"1,280","2,073","1,903","2,031","1,293",740,603,580,622,732,813,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,"54,622"
"Bahamas, The",39,50,29,27,28,32,33,37,39,47,56,54,58,63,71,84,100,95,66,63,88,120,140,139,151,179,194,262,211,207,235,246,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,"11,209"
Bahrain,332,369,336,396,431,500,559,635,725,856,"1,013","1,287",872,"1,082","1,120","1,223","1,531","1,483","1,774","1,391","1,642","2,050","2,074","2,166","2,364","2,367","2,391","2,466","3,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"38,869"
Bangladesh,0,0,0,0,0,0,,2,3,4,4,4,6,7,8,6,3,3,14,8,9,12,12,20,33,32,41,47,57,83,95,101,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,"416,265"
Barbados,8,9,9,10,11,15,20,16,18,19,19,20,20,22,18,41,36,55,39,37,35,57,53,64,63,55,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"4,854"
Belarus,,,,,,,36,26,20,5,10,33,49,28,47,52,70,103,171,133,116,134,142,151,181,162,124,138,160,186,245,240,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,"68,208"
Belgium,,,,,,,,,,,,,"1,629","2,097","2,342","2,426","2,565","3,202","4,124","4,292","4,142","4,504","4,303","4,548","5,251","4,441","4,565","4,747","5,611","5,336","6,234","7,108",1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,"599,107"
Belize,7,6,6,6,7,7,7,8,7,6,6,16,17,20,18,19,21,21,28,23,22,24,26,32,33,41,45,46,43,42,42,42,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,"2,426"
Benin,21,21,21,21,23,26,34,17,30,6,9,10,7,5,6,34,61,108,75,70,63,62,88,101,144,98,88,73,94,87,92,100,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,"17,699"
